물질키_InChIKey14,Murcko골격,eye_구분,eye_출처,skin_구분,skin_출처,대표성분명,대표CAS,대표SMILES,등장제형수
HBOMLICNUCNMMY,O=c1ccn(C2CCCO2)c(=O)[nH]1,,,,,3'-Azido-3'-Deoxythymidine,,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,5
HDHLIWCXDDZUFH,c1ncnc(NC2CC2)n1,NC,팀원A,NC,팀원A,Cybutryne,28159-98-0,CSC1=NC(NC(C)(C)C)=NC(NC2CC2)=N1,3
HEMHJVSKTPXQMS,__ACYCLIC__,1,phase1,1,phase1,Sodium hydroxide ≤,1310-73-2,[Na+].[OH-],13
HFCYZXMHUIHAQI,O=C(Nc1ccccc1)Nc1cnns1,2,팀원A,2,팀원A,Thidiazuron,51707-55-2,O=C(Nc1ccccc1)Nc1cnns1,7
HFPZCAJZSCWRBC,c1ccccc1,NC,phase1,NC,phase1,P-Cymene,,Cc1ccc(C(C)C)cc1,9
HFQQZARZPUDIFP,c1ccccc1,1,phase1,2,phase1,SODIUM DODECYLBENZENESULFONATE,25155-30-0,CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Na+],3
HHSPVTKDOHQBKF,__ACYCLIC__,,,,,Dolomite granules,16389-88-1,O=C([O-])[O-].O=C([O-])[O-].[Ca+2].[Mg+2],4
HIGQPQRQIQDZMP,__ACYCLIC__,,,,,Geranyl Acetate,,CC(=O)OC/C=C(\C)CCC=C(C)C,4
HJJVPARKXDDIQD,c1ccc(C2(Cn3cncn3)CCCO2)cc1,NC,팀원A,NC,팀원A,Bromuconazole,116255-48-2,Clc1ccc(C2(Cn3cncn3)CC(Br)CO2)c(Cl)c1,8
HJUFTIJOISQSKQ,c1ccc(Oc2ccccc2)cc1,NC,팀원A,NC,팀원A,Fenoxycarb,72490-01-8,CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1,4
HKIOYBQGHSTUDB,O=C1NC(=O)c2ccccc21,2,팀원A,NC,팀원A,Folpet,133-07-3,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,3
HLZCHRAMVPCKDU,c1ccccc1,2,팀원A,NC,팀원A,Sodium dicamba,1982-69-0,[Na+].COC1=C(C([O-])=O)C(Cl)=CC=C1Cl,3
HNXNKTMIVROLTK,__ACYCLIC__,,,,,"Decanamide, N,N-dimethyl-",14433-76-2,CCCCCCCCCC(=O)N(C)C,3
HOKKPVIRMVDYPB,N=C1SCCN1Cc1cccnc1,NC,팀원A,NC,팀원A,Thiacloprid,111988-49-9,ClC1=CC=C(CN2CCSC2=N/C#N)C=N1,1
HQABUPZFAYXKJW,__ACYCLIC__,1,phase1,1,phase1,Butylamine,109-73-9,CCCCN,1
HQKQRXZEXPXXIG,C1CC2CC3CCCC3(C1)C2,,,,,Cedryl acetate,77-54-3,CC(=O)O[C@]1(C)CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C,1
HQYZTGGAEAFKIO,c1csnn1,,,,,"N’-1,2,3-thiadiazol-5-ylurea",,NC(=O)Nc1cnns1,1
HRBKVYFZANMGRE,c1ccncc1,NC,팀원A,NC,팀원A,Chlorpyrifos-Methyl,5598-13-0,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,5
HRZFUMHJMZEROT,__ACYCLIC__,1,phase1,NC,phase1,Sodium metabisulfite (SMS),7681-57-4,[Na+].[Na+].[O-]S(=O)S([O-])(=O)=O,3
HSXUHWZMNJHFRV,c1ccc(N=Nc2cccc3ccccc23)cc1,,,,,Other/inert ingredients,8042-47-5,O=S(=O)([O-])c1cc(S(=O)(=O)[O-])c2c(N=Nc3ccccc3)c(O)ccc2c1.[Na+].[Na+],1
HTPQPMPFXUWUOT,O=C1C=Cc2ccccc2C1=NNc1ccc(N=Nc2ccccc2)cc1,,,,,Oil Red O,,O=C1C=Cc2ccccc2/C1=N/Nc1ccc(N=Nc2ccccc2)cc1,2
HUHGPYXAVBJSJV,C1NCNCN1,2,팀원A,NC,팀원A,"Hexahydro-,3,5-tris(2-hydroxyethyl)-s-triazine",4719-04-4,OCCN1CN(CCO)CN(CCO)C1,2
HUMNYLRZRPPJDN,c1ccccc1,2A,phase1,NC,phase1,Benzaldehyde,,O=Cc1ccccc1,1
HWATZEJQIXKWQS,O=C(Nc1ncccn1)NS(=O)(=O)c1ccccn1,,,,,Active Ingredient: Flazasulfuron* 25 Not established,104040-78-0,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(F)(F)F)n1,2
HYVWIQDYBVKITD,c1ccccc1,2,phase1,2,phase1,Tolyfluanid,731-27-1,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)C1=CC=C(C)C=C1,1
HZAXFHJVJLSVMW,__ACYCLIC__,1,팀원A,1,팀원A,aminoethanol 1,141-43-5,NCCO,2
HZJKXKUJVSEEFU,c1ccc(CCn2cncn2)cc1,2,팀원A,NC,팀원A,Myclobutanil,88671-89-0,CCCCC(CN1C=NC=N1)(C#N)C1=CC=C(Cl)C=C1,4
HZRSNVGNWUDEFX,c1ccc(COc2ccn(-c3ccccc3)n2)cc1,NC,팀원A,2,팀원A,Pyraclostrobin,175013-18-0,COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1,24
IAJOBQBIJHVGMQ,__ACYCLIC__,,,,,Glufosinate,,CP(=O)(O)CCC(N)C(=O)O,1
IANUJLZYFUDJIH,O=C(COc1nncs1)Nc1ccccc1,NC,팀원A,NC,팀원A,Identifiers,142459-58-3,CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,7
IAYPIBMASNFSPL,C1CO1,,,,,Ethylene oxide,75-21-8,C1CO1,3
IBSNKSODLGJUMQ,c1ccc(COc2ccccn2)cc1,,,,,Picoxystrobin,117428-22-5,CO/C=C(/C(=O)OC)c1ccccc1COc1cccc(C(F)(F)F)n1,6
IBSREHMXUMOFBB,O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(C=CCCO1)C2.O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(C=CCCO1)C2,NC,팀원A,1,팀원A,Abamectin,71751-41-2,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,16
IDGRPSMONFWWEK,c1ccccc1,NC,팀원A,NC,팀원A,2-Ethylhexyl (4-chloro-2-methylphenoxy)acetate,29450-45-1,CCCCC(CC)COC(=O)COC1=C(C)C=C(Cl)C=C1,2
IDOWTHOLJBTAFI,O=C(Nc1ccccc1)Oc1ccccc1,NC,팀원A,NC,팀원A,phenmedipham (ISO); methyl 3-(3-methylcarbaniloyloxy)carbanilate 15,13684-63-4,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,3
IDQBJILTOGBZCR,__ACYCLIC__,,,,,Propylene glycol n-butyl ether (Dowanol PnB),29387-86-8,CCCCOC(O)CC,1
IGODOXYLBBXFDW,C1=CCCCC1,NC,팀원A,NC,팀원A,Terpinyl Acetate (mixture of isomers),80-26-2,CC(=O)OC(C)(C)C1CC=C(C)CC1,1
IGOWHGRNPLFNDJ,__ACYCLIC__,NC,팀원A,NC,팀원A,cis-Tricos-9-ene,27519-02-4,CCCCCCCCCCCCCC=C/CCCCCCCC,3
IHPKGUQCSIINRJ,__ACYCLIC__,NC,팀원A,2,팀원A,"beta-OCIMENE, (3E)-",3338-55-4,C=C/C(C)=C/CC=C(C)C,5
IJDNQMDRQITEOD,__ACYCLIC__,NC,팀원A,NC,팀원A,BUTANE 10.0-20.0,106-97-8,CCCC,5
IJGRMHOSHXDMSA,__ACYCLIC__,,,,,Nitrogen,,N#N,2
IMUDHTPIFIBORV,C1CNCCN1,,,,,Aminoethylpiperazine,,NCCN1CCNCC1,2
INISTDXBRIBGOC,O=C(CNc1ccccc1)OCc1cccc(Oc2ccccc2)c1,NC,팀원A,2,팀원A,Tau-fluvalinate (-No),102851-06-9,CC(C)[C@@H](Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,5
IOYNQIMAUDJVEI,O=C1C=CCC(C2CCOCC2)C1,NC,팀원A,NC,팀원A,Tepraloxydim,149979-41-9,CCC(=NOCC=CCl)C1=C(O)CC(CC1=O)C1CCOCC1,1
IQVNEKKDSLOHHK,C(=Cc1ccccc1)C(C=Cc1ccccc1)=NNC1=NCCCN1,2,팀원A,NC,팀원A,Content (W/W),67485-29-4,CC1(C)CN=C(NN=C(C=Cc2ccc(C(F)(F)F)cc2)C=Cc2ccc(C(F)(F)F)cc2)NC1,4
IRCMYGHHKLLGHV,c1ccc2c(c1)CCO2,NC,phase1,NC,phase1,Ethofumesate (ISO),26225-79-6,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,9
ISRUGXGCCGIOQO,c1ccccc1,NC,팀원A,NC,팀원A,Propoxur,114-26-1,CNC(=O)OC1=CC=CC=C1OC(C)C,4
ISWSIDIOOBJBQZ,c1ccccc1,1,팀원A,1,팀원A,Phenol < 3 5 ppm 5 ppm NA IARC – 3,108-95-2,Oc1ccccc1,6
IUQAXCIUEPFPSF,O=C1CCCC(=O)C1C(=O)c1ccccc1,,,,,Tembotrione,335104-84-2,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,2
IUQJDHJVPLLKFL,c1ccccc1,1,phase1,NC,phase1,"(2,4-Dichlorophenoxy)acetic acid dimethylamine",2008-39-1,C[NH2+]C.[O-]C(=O)COC1=C(Cl)C=C(Cl)C=C1,21
IUTPYMGCWINGEY,c1ccc(-c2ccccc2)cc1,,,,,PCB 118,31508-00-6,Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,1
IVNMXYOTNCGNFX,C1CCOC1,,,,,Tetrahydrofurfuryl,,[CH2]C1CCCO1,2
IVSZLXZYQVIEFR,c1ccccc1,NC,팀원A,2,팀원A,Xylene,1330-20-7,Cc1cccc(C)c1,8
IWEDIXLBFLAXBO,c1ccccc1,1,팀원A,NC,팀원A,Dicamba,1918-00-9,COc1c(Cl)ccc(Cl)c1C(=O)O,12
IXSZQYVWNJNRAL,c1ccc(C2=NC(c3ccccc3)CO2)cc1,NC,팀원A,NC,팀원A,Etoxazole,153233-91-1,CCOC1=C(C=CC(=C1)C(C)(C)C)C1COC(=N1)C1=C(F)C=CC=C1F,6
IYMLUHWAJFXAQP,O=C(c1cn[nH]c1)c1cccc(C2=NOCC2)c1,,,,,Topramezone,210631-68-8,CN1N=CC(C(=O)C2=C(C)C(C3=NOCC3)=C(C=C2)S(C)(=O)=O)=C1O,4
IZWPGJFSBABFGL,__ACYCLIC__,1,팀원A,2,팀원A,Sodium -[methyloleoylamino]ethane-1-sulphonate 1,137-20-2,CCCCCCCC/C=C\CCCCCCCC(=O)N(C)CCS(=O)(=O)[O-].[Na+],3
JBDHZKLJNAIJNC,c1ccc(Oc2ccccn2)cc1,NC,phase1,NC,phase1,Clodinafop-propargyl,105512-06-9,C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,2
JDRFUUBRGGDEIZ,c1ccccc1,2A,phase1,NC,phase1,Dicamba-dimethylammonium,2300-66-5,CNC.COC1=C(C(O)=O)C(Cl)=CC=C1Cl,18
JEPWTUCYPWOCQV,c1cc2c(cc1C1OCCO1)CCCC2,,,,,Eau de brouts absolute (bitter orange 'brouts' distillation water extract),131812-67-4,CC1COC(C)(c2ccc3c(c2)C(C)(C)CCC3(C)C)O1,1
JHIVVAPYMSGYDF,O=C1CCCCC1,1,팀원A,2,팀원A,Cyclohexanone,108-94-1,O=C1CCCCC1,4
JHJLBTNAGRQEKS,__ACYCLIC__,,,,,sodium bromide,7647-15-6,[Br-].[Na+],2
JJLJMEJHUUYSSY,__ACYCLIC__,1,팀원A,NC,팀원A,Copper(II) hydroxide,20427-59-2,[Cu+2].[OH-].[OH-],2
JLHMJWHSBYZWJJ,O=S1C=CC=N1,1,phase1,1,phase1,isothiazol--one,,O=S1C=CC=N1,2
JLYFCTQDENRSOL,c1ccsc1,NC,팀원A,NC,팀원A,Dimethenamid-P,163515-14-8,COC[C@H](C)N(C(=O)CCl)c1c(C)csc1C,5
JOZKFWLRHCDGJA,__ACYCLIC__,,,,,Citronellyl Acetate,150-84-5,CC(=O)OCCC(C)CCC=C(C)C,2
JPMIIZHYYWMHDT,O=c1ccs[nH]1,1,팀원A,1,팀원A,2-n-Octyl-4-isothiazolin-3-one,26530-20-1,CCCCCCCCn1sccc1=O,5
JRQGDDUXDKCWRF,O=C([N-]S(=O)(=O)c1ccccc1)n1nc[nH]c1=O,NC,팀원A,NC,팀원A,Propoxycarbazone-sodium,181274-15-7,CCCOc1nn(C(=O)[N-]S(=O)(=O)c2ccccc2C(=O)OC)c(=O)n1C.[Na+],5
JSNRRGGBADWTMC,__ACYCLIC__,,,,,beta-Farnesene,,C=CC(=C)CC/C=C(\C)CCC=C(C)C,1
JTEGQNOMFQHVDC,O=c1ncccn1C1CSCO1,2A,phase1,2,phase1,Lamivudine,134678-17-4,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,4
JUJFQMPKBJPSFZ,O=C([N-]S(=O)(=O)c1ccccc1)Nc1ncncn1,NC,팀원A,NC,팀원A,Iodosulfuron methyl ester sodium salt,144550-36-7,[Na+].COC(=O)C1=C(C=C(I)C=C1)S(=O)(=O)[N-]C(=O)NC1=NC(OC)=NC(C)=N1,6
JVDDTUQPPBUQDD,O=C1C(Cc2ccccc2)CCN2CCCN12,,,,,mol,,N[C@@]1(Cc2ccccc2)CCN2CC[C@@H](C=O)N2C1=O,6
JVGWUGTWQIAGHJ,O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(CCCCO1)C2,,,,,Other ingredients (NE - not established),65195-53-1,CC[C@H](C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](CC=C(C)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)C=CC=C4/CO[C@@H]5[C@H](OC)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)C[C@H](O)[C@@H]1C,1
JWUCHKBSVLQQCO,c1ccc(C(Cn2cncn2)c2ccccc2)cc1,NC,팀원A,NC,팀원A,Flutriafol,76674-21-0,OC(CN1C=NC=N1)(C1=CC=C(F)C=C1)C1=C(F)C=CC=C1,4
JXSJBGJIGXNWCI,__ACYCLIC__,NC,팀원A,NC,팀원A,malathion (ISO) [containing ≤ 0,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,6
JYCQQPHGFMYQCF,c1ccccc1,2,팀원A,2,팀원A,Triton X-100,9002-93-1,CC(C)(C)CC(C)(C)C1=CC=C(OCCO)C=C1,3
JYGLAHSAISAEAL,O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1,NC,팀원A,NC,팀원A,Diphacinone,82-66-6,O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1,3
JYIMWRSJCRRYNK,__ACYCLIC__,NC,팀원A,NC,팀원A,Sodium aluminosilicate,1344-00-9,O.[Al+3].[Al+3].[Na+].[Na+].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Si+4],2
JZCCFEFSEZPSOG,__ACYCLIC__,,,,,Copper Sulfate Pentahydrate CuSO₄·5H₂O 249.68 g/mol,,O.O.O.O.O.O=S(=O)([O-])[O-].[Cu+2],2
KAATUXNTWXVJKI,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,NC,팀원A,2,팀원A,Cypermethrin,52315-07-8,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1,22
KDPSHFVSTJYAJQ,C1CCCCC1,,,,,cis-1-Ethoxy-4-(2-methylbutan-2-yl)cyclohexane,181258-87-7,CCO[C@H]1CC[C@H](CC1)C(C)(C)CC,1
KEIXJOCOXNOKHI,c1ccccc1,,,,,"Dimethylamine Salt of -(2,4-Dichlorphenoxy) 23 True",2758-42-1,CNC.O=C(O)CCCOc1ccc(Cl)cc1Cl,2
KEQGZUUPPQEDPF,O=C1CNC(=O)N1,2,팀원A,1,팀원A,"1,3-Dichloro-5,5-dimethylhydantoin",118-52-5,CC1(C)N(Cl)C(=O)N(Cl)C1=O,2
KETSPIPODMGOEJ,C1CCCCC1,,,,,Phytate Persodium,,O=P([O-])([O-])OC1C(OP(=O)([O-])[O-])C(OP(=O)([O-])[O-])C(OP(=O)([O-])[O-])C(OP(=O)([O-])[O-])C1OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],2
KFSLWBXXFJQRDL,__ACYCLIC__,1,팀원A,1,팀원A,Peracetic Acid,79-21-0,CC(=O)OO,7
KFZMGEQAYNKOFK,__ACYCLIC__,1,팀원A,NC,팀원A,Isopropanol -No,67-63-0,CC(C)O,8
KGBXLFKZBHKPEV,__ACYCLIC__,NC,phase1,NC,phase1,Boric acid (H3BO3),10043-35-3,OB(O)O,1
KGOIAFZMMLWXLM,__ACYCLIC__,,,,,Kaolin,1332-58-7,O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],3
KJPRLNWUNMBNBZ,c1ccccc1,2,팀원A,2,팀원A,3-Phenylprop-2-enal,104-55-2,O=CC=CC1=CC=CC=C1,2
KKCXRELNMOYFLS,__ACYCLIC__,NC,팀원A,NC,팀원A,copper oxide - <3,1317-38-0,[Cu+2].[O-2],3
KPUREKXXPHOJQT,O=C1CCCC(=O)C1C(=O)c1ccccc1,NC,팀원A,NC,팀원A,Mesotrione,104206-82-8,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,17
KRFJLUBVMFXRPN,__ACYCLIC__,1,phase1,NC,phase1,Cuprous oxide,1317-39-1,[O--].[Cu+].[Cu+],2
KRHYYFGTRYWZRS,__ACYCLIC__,,,,,"Hydrofluoricacid T,C,R34",7664-39-3,F,2
KRJHRNUTLDTSKY,C1CCCCC1,,,,,"Diethyl trans-1,4-cyclohexanedicarboxylate",19145-96-1,CCOC(=O)[C@H]1CC[C@@H](CC1)C(=O)OCC,1
KRKNYBCHXYNGOX,__ACYCLIC__,2,팀원A,NC,팀원A,Citric acid,77-92-9,OC(=O)CC(O)(CC(O)=O)C(O)=O,2
KUAZQDVKQLNFPE,__ACYCLIC__,2,팀원A,2,팀원A,Bis(dimethylaminothiocarbonyl) disulfide,137-26-8,CN(C)C(=S)SSC(=S)N(C)C,8
KVDJTXBXMWJJEF,O=C(NCCc1ccccn1)c1ccccc1,,,,,Fluopyram,658066-35-4,O=C(NCCc1ncc(C(F)(F)F)cc1Cl)c1ccccc1C(F)(F)F,6
KVIZNNVXXNFLMU,O=C(OCc1ccccc1)C1CC1,NC,phase1,NC,phase1,Metofluthrin,240494-70-6,COCC1=C(F)C(F)=C(COC(=O)C2C(C=CC)C2(C)C)C(F)=C1F,10
KWAIHLIXESXTJL,c1cnc(C2CC2)nc1,NC,phase1,NC,phase1,Aminocyclopyrachlor,858956-08-8,NC1=NC(=NC(C(O)=O)=C1Cl)C1CC1,6
KWLVWJPJKJMCSH,O=C(Cc1ccccc1)NCCc1ccccc1,NC,팀원A,NC,팀원A,Mandipropamid,374726-62-2,COC1=C(OCC#C)C=CC(CCNC(=O)C(OCC#C)C2=CC=C(Cl)C=C2)=C1,4
KWOLFJPFCHCOCG,c1ccccc1,,,,,Acetophenone 12-14,,CC(=O)c1ccccc1,6
KWVYSEWJJXXTEZ,O=C1CC2C(=CC3C2C=CC2CC(OC4CCCCO4)CC23)C(=O)CC(OC2CCCCO2)CCCCO1,,,,,Spinetoram L,,CCO[C@@H]1[C@@H](OC)[C@H](C)O[C@@H](O[C@H]2C[C@H]3[C@@H]4C=C5C(=O)[C@H](C)[C@@H](O[C@H]6CC[C@H](N(C)C)[C@@H](C)O6)CCC[C@H](CC)OC(=O)C[C@H]5[C@@H]4C=C(C)[C@@H]3C2)[C@@H]1OC,4
KWYUFKZDYYNOTN,__ACYCLIC__,,,,,"Potassium hydroxide, KOH 5",1310-58-3,[K+].[OH-],2
KZBUYRJDOAKODT,__ACYCLIC__,2,팀원A,2,팀원A,Chlorine,7782-50-5,ClCl,1
LDVVMCZRFWMZSG,O=C1NC(=O)C2CC=CCC12,1,팀원A,NC,팀원A,Captan,133-06-2,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,9
LECAAGVQUHQAJK,__ACYCLIC__,,,,,"Silicic acid, calcium salt",,[Ca+2].[O-][Si](O)(O)O.[O-][Si](O)(O)O,2
LFJQCDVYDGGFCH,C=C1C=CCCC1,,,,,Beta-Phellandrene,,C=C1C=CC(C(C)C)CC1,2
LFQSCWFLJHTTHZ,__ACYCLIC__,2A,phase1,NC,phase1,Ethanol -No,64-17-5,CCO,8
LFSYUSUFCBOHGU,c1ccc(Cc2ccccc2)cc1,2,팀원A,2,팀원A,"Diphenylmethane-,4’- diisocyanate 10",5873-54-1,O=C=Nc1ccc(Cc2ccccc2N=C=O)cc1,2
LFVGISIMTYGQHF,__ACYCLIC__,,,,,Monoammonium Phosphate 5-20,7722-76-1,O=P([O-])(O)O.[NH4+],2
LGIRBUBHIWTVCK,c1ccc2c(c1)Oc1ccccc1O2,,,,,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",19408-74-3,Clc1cc2c(c(Cl)c1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2,1
LIOPHZNMBKHGAV,__ACYCLIC__,,,,,Potassium salt of glyphosate,70901-12-1,O=C(O)CNCP(=O)([O-])O.[K+],9
LKPLKUMXSAEKID,c1ccccc1,NC,팀원A,NC,팀원A,Fartox,82-68-8,[O-][N+](=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,2
LLEMOWNGBBNAJR,c1ccc(-c2ccccc2)cc1,2A,phase1,2,phase1,2-Phenylphenol,90-43-7,OC1=C(C=CC=C1)C1=CC=CC=C1,8
LMNZTLDVJIUSHT,O=C1NC(=O)c2ccccc21,NC,팀원A,NC,팀원A,phosmet(ISO) w/w,732-11-6,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,2
LOQQVLXUKHKNIA,O=C(Nc1ncncn1)NS(=O)(=O)c1ccsc1,2,팀원A,NC,팀원A,Thifensulfuron,79277-67-1,COC1=NC(C)=NC(NC(=O)NS(=O)(=O)C2=C(SC=C2)C(O)=O)=N1,5
LQBSMDYQONPVPE,c1ccc(Cc2ccccc2)cc1,,,,,"1-(3-isopropylphenyl)-1-phenylethane [Benzene, 1-(1-methylethyl)-3-(1-phenylethyl)-]",191044-59-4,CC(C)C1=CC=CC(=C1)C(C)C1=CC=CC=C1,1
LQDARGUHUSPFNL,c1ccc(CCn2cncn2)cc1,NC,팀원A,NC,팀원A,Tetraconazole,112281-77-3,FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,2
LRCFXGAMWKDGLA,__ACYCLIC__,,,,,"Silica, amorphous, precipitated and gel",,O.O=[Si]=O,2
LRHPLDYGYMQRHN,__ACYCLIC__,1,팀원A,2,팀원A,n-Butyl Alcohol,71-36-3,CCCCO,6
LRXTYHSAJDENHV,__ACYCLIC__,NC,팀원A,NC,팀원A,231-994-3 Zinc phosphate N; R50/53,7779-90-0,O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Zn+2].[Zn+2].[Zn+2],2
LVDKZNITIUWNER,__ACYCLIC__,1,팀원A,2,팀원A,bronopol,52-51-7,O=[N+]([O-])C(Br)(CO)CO,13
LVQDKIWDGQRHTE,c1ncnc(NC2CC2)n1,2,팀원A,2,팀원A,Cyromazine,66215-27-8,Nc1nc(N)nc(NC2CC2)n1,3
LWEAHXKXKDCSIE,c1ccc2ccccc2c1,,,,,Sodium diisopropylnaphthalene sulphonate,1322-93-6,CC(C)c1cc2ccccc2c(S(=O)(=O)O)c1C(C)C,8
LXCFILQKKLGQFO,c1ccccc1,2,팀원A,2,팀원A,Methylparaben,99-76-3,COC(=O)c1ccc(O)cc1,1
LXKOADMMGWXPJQ,O=C(Nc1ncccn1)NS(=O)(=O)c1ccn[nH]1,,,,,Halosulfuron,135397-30-7,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=C(C(O)=O)C(Cl)=NN2C)=N1,2
LYCAIKOWRPUZTN,__ACYCLIC__,NC,팀원A,NC,팀원A,Ethylene Glycol,107-21-1,OCCO,13
LZCLXQDLBQLTDK,__ACYCLIC__,,,,,Ethyl (L)-lactate 10.00,687-47-8,CCOC(=O)[C@H](C)O,2
MAJYSQJXMUDACI,c1ccc(Cc2ccccc2)cc1,,,,,Diphenylmethanediisocyanate,9016-87-9,[N-]=C=O.[N-]=C=O.c1ccc(Cc2ccccc2)cc1,2
MCNOFYBITGAAGM,c1coc(C2CNCO2)c1,NC,phase1,NC,phase1,Furilazole,121776-33-8,CC1(C)OC(c2ccco2)CN1C(=O)C(Cl)Cl,3
MCWXGJITAZMZEV,__ACYCLIC__,NC,팀원A,NC,팀원A,Dimethoate not listed,60-51-5,CNC(=O)CSP(=S)(OC)OC,2
MDJJOJZGNNCGHU,C1=CCC(C2CCCC2)=CC1,,,,,I(3)-Cuprenene,,CC1=CCC([C@@]2(C)CCCC2(C)C)=CC1,1
MDWRNPOBHVLALB,c1cnc(C2CC2)nc1,NC,phase1,NC,phase1,Aminocyclopyrachlor methyl ester,858954-83-3,COC(=O)C1=C(Cl)C(N)=NC(=N1)C1CC1,4
MEFOUWRMVYJCQC,O=C(Nc1ncccn1)NS(=O)(=O)c1ccccn1,2A,phase1,NC,phase1,RIMSULFURON,122931-48-0,CCS(=O)(=O)c1cccnc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,17
MGOHCFMYLBAPRN,O=c1c(-c2ccccc2)cn2n1CCOCC2,2,팀원A,2,팀원A,Pinoxaden,243973-20-8,CCC1=CC(C)=CC(CC)=C1C1=C(OC(=O)C(C)(C)C)N2CCOCCN2C1=O,6
MHAJPDPJQMAIIY,__ACYCLIC__,1,팀원A,1,팀원A,Hydrogen Peroxide,7722-84-1,OO,7
MIFOMMKAVSCNKQ,O=C(NN=C(Cc1ccccc1)c1ccccc1)Nc1ccccc1,NC,팀원A,NC,팀원A,Metaflumizone,139968-49-3,FC(F)(F)OC1=CC=C(NC(=O)NN=C(CC2=CC=C(C=C2)C#N)C2=CC=CC(=C2)C(F)(F)F)C=C1,6
