Formulation_ID,product_name,n_ing,pct_sum_known_raw,pct_sum_known_fixed,n_pct_known_raw,n_pct_known_fixed,pct_status,rows_blanked,y_eye_bin,y_skin_bin,y_sens_bin
EyeIrritation6pack_PID977,Three-Way VAP,7,140.23,39.72,7,3,cross_source_block_split:ntp_ice,"idx0[master]'Clethodim'=36.7(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Heavy aromatic naptha solvent'=53.69(cross_source_block_dropped:ntp_ice_kept); idx2[master]'1,2,4-trimethylbenzene'=5.2(cross_source_block_dropped:ntp_ice_kept); idx3[master]'Anionic/nonionic surfactant blend'=4.92(cross_source_block_dropped:ntp_ice_kept)",0.0,0.0,0.0
MIX491,Three-Way VAP,7,140.23,39.72,7,3,cross_source_block_split:ntp_ice,"idx0[master]'Clethodim'=36.7(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Heavy aromatic naptha solvent'=53.69(cross_source_block_dropped:ntp_ice_kept); idx2[master]'1,2,4-trimethylbenzene'=5.2(cross_source_block_dropped:ntp_ice_kept); idx3[master]'Anionic/nonionic surfactant blend'=4.92(cross_source_block_dropped:ntp_ice_kept)",1.0,0.0,0.0
EyeIrritation6pack_PID869,Sharda Glyphosate,3,140.2,44.0,3,2,cross_source_block_split:master,idx2[ntp_ice]'Glyphosate'=96.2(cross_source_block_dropped:master_kept),1.0,1.0,0.0
MIX470,Strada XT,8,140.0,30.0,5,3,cross_source_block_split:master,idx6[ntp_ice]'Orthosulfamuron'=50.0(cross_source_block_dropped:master_kept); idx7[ntp_ice]'Quinclorac'=60.0(cross_source_block_dropped:master_kept),,0.0,1.0
EyeIrritation6pack_PID61,Albaugh Glyphosphate Acid,2,137.5,96.5,2,1,cross_source_block_split:ntp_ice,idx0[master]'Isopropylamine Salt of Glyphosate'=41.0(cross_source_block_dropped:ntp_ice_kept),1.0,,
MIX801,sodium hydroxide/SMS (5:3),3,137.5,37.5,2,1,total_row_dropped,idx1[ntp_ice]'Sodium hydroxide'=100.0(total_row_dropped),,,
MIX537,Weld Herbicide,4,136.7,46.7,4,3,cross_source_block_split:ntp_ice,idx0[master]'Methylene Chloride'=90.0(cross_source_block_dropped:ntp_ice_kept),1.0,0.0,0.0
EyeIrritation6pack_PID1044,Weld Herbicide,4,136.7,46.7,4,3,cross_source_block_split:ntp_ice,idx0[master]'Methylene Chloride'=90.0(cross_source_block_dropped:ntp_ice_kept),1.0,1.0,0.0
EyeIrritation6pack_PID691,Neo Chlor Spa Angel Tab,4,134.39,30.69,4,1,cross_source_block_split:ntp_ice,idx0[master]'Synonyms: Sodium Chlorite Solution'=7.5(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Sodium chlorite 2 -7.8'=7.0(cross_source_block_dropped:ntp_ice_kept); idx2[master]'Water'=89.2(cross_source_block_dropped:ntp_ice_kept),1.0,1.0,
EyeIrritation6pack_PID4,0.19% Mesotrione on Fertilizer,7,134.19,38.19,7,6,nonchem_name_blanked,idx0[master]'Chemical name : Mesotrione Technical'=96.0(nonchem_name_blanked),1.0,,
MIX320,Mana 11201,7,132.45,32.45,7,2,nonchem_name_blanked+cross_source_block_split:ntp_ice,idx0[master]'Water 7732‐18‐5'=88.0(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Urea Monohydrochloride 506‐89‐8'=5.0(cross_source_block_dropped:ntp_ice_kept); idx2[master]'Ethoxylated Alcohol 68439‐46‐3'=5.0(cross_source_block_dropped:ntp_ice_kept); idx3[master]'Organic Salt Proprietary'=1.0(nonchem_name_blanked); idx4[master]'Colorant Proprietary'=1.0(nonchem_name_blanked),,0.0,
EyeIrritation6pack_PID621,Mana 11201,7,132.45,32.45,7,2,nonchem_name_blanked+cross_source_block_split:ntp_ice,idx0[master]'Water 7732‐18‐5'=88.0(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Urea Monohydrochloride 506‐89‐8'=5.0(cross_source_block_dropped:ntp_ice_kept); idx2[master]'Ethoxylated Alcohol 68439‐46‐3'=5.0(cross_source_block_dropped:ntp_ice_kept); idx3[master]'Organic Salt Proprietary'=1.0(nonchem_name_blanked); idx4[master]'Colorant Proprietary'=1.0(nonchem_name_blanked),0.0,,
EyeIrritation6pack_PID17,3336 70EG,2,132.22,70.0,2,1,cross_source_block_split:ntp_ice,idx0[master]'Diuron'=62.22(cross_source_block_dropped:ntp_ice_kept),1.0,1.0,
EyeIrritation6pack_PID364,DuPont Treoris Fungicide,6,131.7,22.3,6,1,nonchem_name_blanked+cross_source_block_split:ntp_ice,idx0[master]'Penthiopyrad'=20.6(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Substituted Fatty Amide'=12.5(cross_source_block_dropped:ntp_ice_kept); idx2[master]'Ethoxylated Alkyl Ether'=22.5(cross_source_block_dropped:ntp_ice_kept); idx3[master]'Other Ingredients'=26.9(nonchem_name_blanked); idx4[master]'Other/Inert Ingredients'=26.9(cross_source_block_dropped:ntp_ice_kept),1.0,,1.0
EyeIrritation6pack_PID989,Topramezone 2.8 SC Herbicide,3,129.7,59.4,3,2,nonchem_name_blanked,idx1[master]'Inert Proprietary components'=70.3(nonchem_name_blanked),1.0,,
EyeIrritation6pack_PID1005,Troysan 680,4,127.0,27.0,4,3,total_row_dropped,"idx0[master]'Distillates (Petroleum), Hydrotreated Li'=100.0(total_row_dropped)",1.0,,
EyeIrritation6pack_PID217,Charger,3,126.68,95.0,3,2,cross_source_block_split:master,idx2[ntp_ice]'Metofluthrin'=31.68(cross_source_block_dropped:master_kept),1.0,,
EyeIrritation6pack_PID503,GF-2506,6,125.55,25.55,6,3,cross_source_block_split:ntp_ice,idx0[master]'Sulfoxaflor'=21.8(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Propylene glycol'=4.0(cross_source_block_dropped:ntp_ice_kept); idx2[master]'Balance Not available'=74.2(cross_source_block_dropped:ntp_ice_kept),1.0,,
EyeIrritation6pack_PID901,Sporgard WB,5,125.5,40.0,5,3,cross_source_block_split:ntp_ice,"idx0[master]'wallboards. The TBZ metabolite, 5OH-TBZ,'=48.0(cross_source_block_dropped:ntp_ice_kept); idx1[master]'of the urine samples. The detection freq'=37.5(cross_source_block_dropped:ntp_ice_kept)",1.0,,
EyeIrritation6pack_PID412,EX2108,3,125.5,20.0,3,1,cross_source_block_split:ntp_ice,idx0[master]'Isopropylalcohol'=20.5(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Non-regulatedingredients'=85.0(cross_source_block_dropped:ntp_ice_kept),1.0,,
MIX563,Reality 25,2,125.0,25.0,2,1,total_row_dropped,idx0[master]'Free'=100.0(total_row_dropped),,0.0,
EyeIrritation6pack_PID347,DuPont Accent Q Herbicide,3,125.0,,3,0,unrecoverable_blanked,idx0[master]'Nicosulfuron'=75.0(unrecoverable_blanked); idx1[master]'Inert Ingredients'=25.0(unrecoverable_blanked); idx2[master]'Other/Inert Ingredients'=25.0(unrecoverable_blanked),1.0,,
EyeIrritation6pack_PID702,NTN 33893 75 WP-WS,3,125.0,,3,0,unrecoverable_blanked,idx0[master]'Imidacloprid'=75.0(unrecoverable_blanked); idx1[master]'Inert Ingredients'=25.0(unrecoverable_blanked); idx2[master]'Other/Inert Ingredients'=25.0(unrecoverable_blanked),1.0,,
EyeIrritation6pack_PID810,Reality 25,2,125.0,25.0,2,1,total_row_dropped,idx0[master]'Free'=100.0(total_row_dropped),1.0,,
MIX398,Penclo 273.5FS,4,124.6,24.6,4,2,cross_source_block_split:ntp_ice,idx0[master]'Hydrofluorosilicic Acid'=25.0(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Water/Inactive Ingredients'=75.0(cross_source_block_dropped:ntp_ice_kept),,0.0,0.0
EyeIrritation6pack_PID739,Penclo 273.5FS,4,124.59,24.59,4,2,cross_source_block_split:ntp_ice,idx0[master]'Hydrofluorosilicic Acid'=25.0(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Water/Inactive Ingredients'=75.0(cross_source_block_dropped:ntp_ice_kept),0.0,0.0,0.0
EyeIrritation6pack_PID486,GAT Lambda 25 CS,3,123.6,23.6,3,1,cross_source_block_split:ntp_ice,"idx0[master]'Lambda Lambda-cyhalothrin:[1a(S),3a(Z)]-'=23.6(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Other Non-Toxic and non-hazardous'=76.4(cross_source_block_dropped:ntp_ice_kept)",1.0,,
MIX295,LG Permethrin,4,123.2,95.2,2,1,cross_source_block_split:ntp_ice,idx0[master]'Permethrin'=28.0(cross_source_block_dropped:ntp_ice_kept),,0.0,
MIX10,A12010C Fungicide,3,123.0,25.5,3,2,cross_source_block_split:ntp_ice,idx0[master]'Copper(II) hydroxide'=97.5(cross_source_block_dropped:ntp_ice_kept),,0.0,
EyeIrritation6pack_PID23,A12010C Fungicide,3,122.5,25.5,3,2,cross_source_block_split:ntp_ice,idx0[master]'Copper(II) hydroxide'=97.0(cross_source_block_dropped:ntp_ice_kept),1.0,,
EyeIrritation6pack_PID933,TC-317,6,121.5,,6,0,cross_source_block_split:master+unrecoverable_blanked,"idx0[master]'Silica, amorphous'=55.0(unrecoverable_blanked); idx1[master]'Cement, portland, chemicals'=35.0(unrecoverable_blanked); idx2[master]'Quartz - 20.00%'=15.0(unrecoverable_blanked); idx3[master]'Limestone'=3.0(unrecoverable_blanked); idx4[master]'Gypsum (Ca(SO4).2H2O) - 5.00%'=3.0(unrecoverable_blanked); idx5[ntp_ice]'Triticonazole'=10.5(cross_source_block_dropped:master_kept)",0.0,,
MIX155,DPX-MAT28 Herbicide,4,121.2,,3,0,unrecoverable_blanked,idx0[master]'Potassium salt of aminocyclopyrachlor'=25.0(unrecoverable_blanked); idx1[master]'Inert Ingredients'=75.0(unrecoverable_blanked); idx2[master]'Aminocyclopyrachlor (acid equivalent)'=21.2(unrecoverable_blanked),,0.0,
MIX198,F 9328-1EC Herbicide,7,120.41,95.71,7,5,cross_source_block_split:master,idx5[ntp_ice]'Carfentrazone-ethyl'=19.91(cross_source_block_dropped:master_kept); idx6[ntp_ice]'Fluthiacet-methyl'=4.79(cross_source_block_dropped:master_kept),1.0,1.0,1.0
EyeIrritation6pack_PID536,HM-413A,4,120.4,29.4,4,1,cross_source_block_split:ntp_ice,idx0[master]'212-377-0 Substance with a Community Pre'=80.0(cross_source_block_dropped:ntp_ice_kept); idx1[master]'200-857-2 Substance with a Community Fla'=5.5(cross_source_block_dropped:ntp_ice_kept); idx2[master]'Press. Gas: H280'=5.5(cross_source_block_dropped:ntp_ice_kept),1.0,,
EyeIrritation6pack_PID829,ROTAM Methomyl 29LV Insecticide,2,119.0,29.0,2,1,cross_source_block_split:ntp_ice,idx0[master]'Methomyl (900g/kg) – MSDS 2440 Page 1 of'=90.0(cross_source_block_dropped:ntp_ice_kept),1.0,0.0,
MIX406,ROTAM Methomyl 29LV Insecticide,2,119.0,29.0,2,1,cross_source_block_split:ntp_ice,idx0[master]'Methomyl (900g/kg) – MSDS 2440 Page 1 of'=90.0(cross_source_block_dropped:ntp_ice_kept),1.0,0.0,
EyeIrritation6pack_PID413,F 9328-1EC Herbicide,7,118.54,95.71,7,5,cross_source_block_split:master,idx5[ntp_ice]'Carfentrazone-ethyl'=18.04(cross_source_block_dropped:master_kept); idx6[ntp_ice]'({2-Chloro-4-fluoro-5-[(3-oxotetrahydro-'=4.79(cross_source_block_dropped:master_kept),1.0,1.0,1.0
EyeIrritation6pack_PID651,Metribuzin + Flufenacet,5,118.5,94.5,5,4,cross_source_block_split:master,idx4[ntp_ice]'Flufenacet'=24.0(cross_source_block_dropped:master_kept),0.0,,1.0
EyeIrritation6pack_PID498,GF-1640 WG-NC,15,118.0,18.0,15,14,total_row_dropped,idx13[master]'Acetic acid atom % D 1 Acetic acid 100 U'=100.0(total_row_dropped),1.0,,
EyeIrritation6pack_PID937,TC 246,3,114.0,37.5,3,2,nonchem_name_blanked,idx1[master]'OTHER INGREDIENTS'=76.5(nonchem_name_blanked),1.0,,
MIX834,Tebuconazole Fungicide(15.4%),2,113.9,15.4,2,1,nonchem_name_blanked,idx0[master]'Concentration'=98.5(nonchem_name_blanked),,0.0,
MIX614,Bromuconazole(98.4%),6,113.1,,6,0,unrecoverable_blanked,"idx0[master]'Bromuconazole'=98.4(unrecoverable_blanked); idx1[master]'Tebuconazole (RS)-1-p-chlorophenyl-4,4-d'=10.7(unrecoverable_blanked); idx2[master]'Tridecyl Alcohol Ethoxylated'=1.0(unrecoverable_blanked); idx3[master]'Benzyl Alcohol'=1.0(unrecoverable_blanked); idx4[master]'Benzenesulfonic Acid, Mono-C11-13-Branch'=1.0(unrecoverable_blanked); idx5[master]'hydrocarbons ,C10, Aromatics, <1% Naphth'=1.0(unrecoverable_blanked)",1.0,0.0,0.0
EyeIrritation6pack_PID923,SYN 1219 Herbicide,3,111.2,66.0,3,2,cross_source_block_split:master,idx2[ntp_ice]'Glyphosate'=45.2(cross_source_block_dropped:master_kept),1.0,,
MIX492,SYN 1219 Herbicide,3,111.2,66.0,3,2,cross_source_block_split:master,idx2[ntp_ice]'Glyphosate'=45.2(cross_source_block_dropped:master_kept),,0.0,
MIX60,Bioban 425 Antimicrobial,12,110.3375,35.3375,12,11,nonchem_name_blanked,idx0[master]'proprietary low-emission (LE) carrier'=75.0(nonchem_name_blanked),,1.0,
MIX575,Acticide PM Industrial Mildewicide,5,110.1005,33.7,5,2,nonchem_name_blanked+cross_source_block_split:ntp_ice,idx0[master]'used at up to in face and neck formulati'=40.0(cross_source_block_dropped:ntp_ice_kept); idx1[master]'to be used at up to in eye lotions. The '=36.4(cross_source_block_dropped:ntp_ice_kept); idx2[master]'Urea is used in leave-on products at a m'=0.00046(nonchem_name_blanked),0.0,0.0,
EyeIrritation6pack_PID179,Bromuconazole(98.4%),6,109.7,,6,0,unrecoverable_blanked,"idx0[master]'Bromuconazole 1-[(2RS,4RS:2RS,4SR)-4-bro'=95.0(unrecoverable_blanked); idx1[master]'Tebuconazole (RS)-1-p-chlorophenyl-4,4-d'=10.7(unrecoverable_blanked); idx2[master]'Tridecyl Alcohol Ethoxylated'=1.0(unrecoverable_blanked); idx3[master]'Benzyl Alcohol'=1.0(unrecoverable_blanked); idx4[master]'Benzenesulfonic Acid, Mono-C11-13-Branch'=1.0(unrecoverable_blanked); idx5[master]'hydrocarbons ,C10, Aromatics, <1% Naphth'=1.0(unrecoverable_blanked)",1.0,,0.0
MIX518,Troysan 680,8,109.45,83.15,8,5,cross_source_block_split:master,"idx5[ntp_ice]'1,2-Benzisothiazolin-3-one'=10.9(cross_source_block_dropped:master_kept); idx6[ntp_ice]'1,3-Dimethylol-5,5-dimethylhydantoin (DM'=12.5(cross_source_block_dropped:master_kept); idx7[ntp_ice]'1-(Hydroxymethyl)-5,5-dimethylimidazolid'=2.9(cross_source_block_dropped:master_kept)",,0.0,
MIX15,Abamectin B1b,4,106.95,14.95,4,3,cross_source_block_split:master,"idx3[ntp_ice]'Avermectin B1b (무관 순물질 데이터로 판단, 완제품 구성에서'=92.0(cross_source_block_dropped:master_kept)",0.0,0.0,0.0
EyeIrritation6pack_PID795,Pyrocide Falcon 7452,6,106.3,6.3,6,5,total_row_dropped,idx0[master]'Acetone 60- <='=100.0(total_row_dropped),1.0,,
MIX1042,Gurjun balsam,3,105.0,,3,0,unrecoverable_blanked,idx0[master]'Copaene'=50.0(unrecoverable_blanked); idx1[master]'(-)-Caryophyllene'=50.0(unrecoverable_blanked); idx2[master]'Humulene'=5.0(unrecoverable_blanked),,,1.0
MIX804,Sulfuric acid/ Sodium dodecyl sulfate,2,104.0,5.0,2,1,cross_source_block_split:ntp_ice,idx0[master]'Sodium dodecyl sulfate'=99.0(cross_source_block_dropped:ntp_ice_kept),,,
MIX476,Stratego 731 Fungicide,4,103.9,93.1,4,3,cross_source_block_split:master,idx3[ntp_ice]'Prothioconazole'=10.8(cross_source_block_dropped:master_kept),,0.0,
MIX465,TC-317,6,102.5,92.0,6,5,cross_source_block_split:master,idx5[ntp_ice]'Triticonazole'=10.5(cross_source_block_dropped:master_kept),,0.0,
MIX541,UPI Glyphosphate,3,101.73,97.73,2,1,cross_source_block_split:ntp_ice,idx1[master]'Surfactant'=4.0(cross_source_block_dropped:ntp_ice_kept),,0.0,
EyeIrritation6pack_PID437,"Flower, Rose, & Shrub Care II",4,101.22,1.22,4,3,total_row_dropped,idx0[master]'cid:131) Satisfaction Guaranteed (or you'=100.0(total_row_dropped),1.0,,
MIX210,"Flower, Rose, & Shrub Care II",4,101.22,1.22,4,3,total_row_dropped,idx0[master]'cid:131) Satisfaction Guaranteed (or you'=100.0(total_row_dropped),,0.0,
MIX538,Up-Cyde Pro 2.0 EC Termiticide/Insecticide,3,100.7,75.9,3,2,cross_source_block_split:master,idx2[ntp_ice]'Cypermethrin'=24.8(cross_source_block_dropped:master_kept),,0.0,
EyeIrritation6pack_PID1019,Up-Cyde Pro 2.0 EC Termiticide/Insecticide,3,100.7,75.9,3,2,cross_source_block_split:master,idx2[ntp_ice]'Cypermethrin'=24.8(cross_source_block_dropped:master_kept),1.0,,
EyeIrritation6pack_PID471,Formula 2873,6,100.51,100.01,6,5,cross_source_block_split:master,idx5[ntp_ice]'Chlorfenapyr'=0.5(cross_source_block_dropped:master_kept),0.0,,
