no,sheet,fid,ep,우선순위,현재라벨,★판정,★확정라벨,★근거출처,★확인한원문쪽수,★검토자,★검토일,★메모,SDS_Section2_분류,SDS_Section11_해당항목,SDS실제입장,신뢰도
34,A,MIX759,눈자극,T2,NC,유지,NC,sds_v1(PermaStar AG) Sec11 제품 시험 서술,"p.1-2(Sec2), p.6-7(Sec11)",AI판정,2026-08-30,"대상은 F6141 EW Insecticide, PDF 는 퍼메트린 제품 PermaStar AG SDS. Sec2 에 눈 분류 없고 Sec11 은 ""Slightly irritating, but doesn’t cause injury to eye tissue"" = EPA cat IV 수준으로 GHS 비분류에 부합. 주장_sds_2nd=2A 는 근거 원문 미확인. pH 4.2 로 pH 게이트(<=2 / >=11.5) 비해당.",Section 2 - Hazards identification / Classification of substance: Harmful if inhaled / Harmful if swallowed / Harmful in contact with skin / Very Toxic to Aquatic life / Combustible liquid / Signal Word: Warning / Hazard-determined components of labeling: Permethrin,"Eyes: Slightly irritating, but doesn’t cause injury to eye tissue. / Primary irritant effect: On eyes: Slightly irritating to eyes, but does not cause injury to eye tissue.",시험후_음성,중간
35,A,MIX810,눈자극,T2,NC,수정,2A,"주장_sds_2nd=2A (해석된 PDF 는 눈 항목이 ""No data available"" 로 음성 근거가 아님)","p.1-2(Sec2), p.4-5(Sec11)",AI판정,2026-08-30,"대상은 diethyl cis/trans-1,4-cyclohexanedicarboxylate 혼합물이나 PDF 는 전혀 다른 물질 1,4-Cyclohexanediol(556-48-9) Thermo SDS. 그 SDS 도 Sec11 눈 항목이 ""(c) serious eye damage/irritation; No data available"" 로 결측이다. 즉 현재 NC 는 결측을 음성으로 오독한 것. 유일한 실질 주장인 sds_2nd=2A 를 채택.","2. Hazard(s) identification / Classification according to [US] OSHA (29 CFR 1910.1200, 2024) / This product is not considered hazardous by the US OSHA Hazard Communication Standard 2024 (29 CFR 1910.1200). / Label Elements None required / HNOC None identified",(c) serious eye damage/irritation;  No data available / Eyes  Not an expected route of exposure.,데이터없음,중간
36,A,MIX914,눈자극,T2,NC,유지,NC,sds_v1(Cardamom Essential Oil 10% (non-hazardous base)) Sec2+Sec11,"p.1-2(Sec2), p.6-7(Sec11)",AI판정,2026-08-30,"대상 레코드는 유칼립톨 1% 수준의 10% 희석품이고 PDF 가 바로 그 10% 희석품 SDS 로 문서가 일치한다. Sec2 는 Skin Sens. 1 H317 만 분류하고 눈 분류 없음, Sec11 눈은 ""criteria are not met"". phase1_sds=2A 는 희석 전 원유(cardamom oil) 기준으로 보이며 대상과 농도가 다르다.","2.1 Classification of the substance or mixture / Classification under Regulation (EC) No 1272/2008 / Class and category of danger: Sensitization - Skin Category 1; Hazardous to the Aquatic Environment - Long-term Hazard Category 3 / H317, May cause an allergic skin reaction. / H412, Harmful to aquatic life with long lasting effects.",Serious eye damage/irritation: Based on available data the classification criteria are not met.,시험후_음성,중간
38,A,MIX670,피부자극,T2,NC,유지,NC,sds_2nd(BIFEN G/N 7.9F SELECT) Sec11 weight-of-evidence 음성 + 농도 논거,"p.1-2(Sec2), p.6-7(Sec11)",AI판정,2026-08-30,"눈(no.32)과 동일 논거. 100배 농축 제품(7.9%)이 피부자극 비분류이므로 0.069% 입제의 NC 유지. 단 그 SDS 도 제품 시험자료 없음(""Specific test data ... is not available"")을 명시하므로 근거 강도는 약하다.",2. Hazard(s) identification / Classification: Acute toxicity - Oral Category 2; Acute toxicity - Inhalation (Dusts/Mists) Category 4; Skin sensitization Category 1B; Carcinogenicity Category 2; Specific target organ toxicity (repeated exposure) Category 1 / Hazard statements: Fatal if swallowed; Harmful if inhaled; May cause an allergic skin reaction; Suspected of causing cancer,"Skin corrosion/irritation  Based on available data, the classification criteria are not met. / Skin contact  May cause sensitization by skin contact. Specific test data for the substance or mixture is not available.",시험후_음성,중간
39,A,MIX701,피부자극,T2,NC,보류,NC,판정 불가 - 양측 모두 대상 제품 시험자료 없음,"p.1(Sec2), p.3-4(Sec11)",AI판정,2026-08-30,"대상은 NEU1171H RTU. PDF(Move-It Total Moss)는 대상 제품이 아니고 피부 판정도 ""Sum of mild skin irritants <10%"" 계산 결과. 주장_sds_2nd=2 의 원문 미확인. no.33 과 동일 사유.","2. Hazard Identification / Approval: This product is not considered hazardous under the Hazardous Substances and New Organisms Act (HSNO), according to the criteria in the Hazardous substances (Hazard Classification) Notice 2020. / GHS 7 Classes: None / SYMBOLS none",Skin  The mixture is not considered to be a skin irritant. Sum of mild skin irritants <10% / IF ON SKIN: no effects are anticipated.,시험후_음성,낮음
40,A,MIX794,피부자극,T2,NC,수정,1,"주장_sds_2nd=1 + 성분 옥탄산 20% (해석된 PDF 는 피부 항목이 ""No data available"")","p.1(Sec2), p.4(Sec11)",AI판정,2026-08-30,"대상은 Oleic/caprylic acid 80/20 혼합물, PDF 는 Sigma Oleic acid 단일물질 SDS 로 혼합물 SDS 가 아니다. 그 SDS 는 Sec2 ""Not a hazardous substance or mixture"", Sec11 피부 항목 ""No data available"" 로 결측이다. 즉 현재 NC 는 결측을 음성으로 오독. 옥탄산(카프릴산) 20% 함유 혼합물은 부식/자극 방향이며 sds_2nd=1 주장과 일치.",2. HAZARDS IDENTIFICATION / 2.1 Classification of the substance or mixture: Not a hazardous substance or mixture. / 2.2 GHS Label elements: Not a hazardous substance or mixture. / 2.3 Hazards not otherwise classified (HNOC) or not covered by GHS - none,Skin corrosion/irritation / No data available / Serious eye damage/eye irritation / No data available,데이터없음,중간
41,A,MIX810,피부자극,T2,NC,수정,2,"주장_sds_2nd=2 (해석된 PDF 는 피부 항목이 ""No data available"")","p.1-2(Sec2), p.4-5(Sec11)",AI판정,2026-08-30,"no.35 와 동일 문서. PDF 는 대상(diethyl 1,4-cyclohexanedicarboxylate)과 다른 물질(1,4-Cyclohexanediol) SDS 이며 Sec11 피부 항목이 ""(b) skin corrosion/irritation; No data available"" 로 결측. 현재 NC 는 결측을 음성으로 오독.","2. Hazard(s) identification / Classification according to [US] OSHA (29 CFR 1910.1200, 2024) / This product is not considered hazardous by the US OSHA Hazard Communication Standard 2024 (29 CFR 1910.1200). / Label Elements None required / HNOC None identified",(b) skin corrosion/irritation;  No data available / Skin  No known effect based on information supplied.,데이터없음,중간
42,A,MIX811,피부자극,T2,NC,수정,2,"주장_sds_2nd=2 (해석된 PDF 는 피부 항목이 ""No data available"")","p.1-2(Sec2), p.4-5(Sec11)",AI판정,2026-08-30,"대상은 1-(1,1-dimethylpropyl)-4-ethoxy-cis/trans-cyclohexane 이성질체 혼합물인데 PDF 는 1,4-Cyclohexanediol SDS(성분표에 556-48-9 가 잘못 붙어 오매칭). Sec11 피부 항목 ""No data available"" 로 음성 근거 없음.","2. Hazard(s) identification / Classification according to [US] OSHA (29 CFR 1910.1200, 2024) / This product is not considered hazardous by the US OSHA Hazard Communication Standard 2024 (29 CFR 1910.1200). / Label Elements None required / HNOC None identified",(b) skin corrosion/irritation;  No data available / Skin  No known effect based on information supplied.,데이터없음,중간
43,A,MIX914,피부자극,T2,NC,유지,NC,sds_v1(Cardamom Essential Oil 10%) Sec2+Sec11,"p.1-2(Sec2), p.6-7(Sec11)",AI판정,2026-08-30,"문서가 대상(10% 희석품)과 일치한다. Sec2 는 Skin Sens. 1 H317 만 분류(피부자극 H315 없음), Sec11 피부자극 ""criteria are not met"". phase1_sds=2 는 원유 기준으로 판단됨.","2.1 Classification of the substance or mixture / Classification under Regulation (EC) No 1272/2008 / Class and category of danger: Sensitization - Skin Category 1; Hazardous to the Aquatic Environment - Long-term Hazard Category 3 / H317, May cause an allergic skin reaction. / H412, Harmful to aquatic life with long lasting effects.",Skin corrosion/irritation: Based on available data the classification criteria are not met. / Respiratory or skin sensitisation: Sensitization - Skin Category 1,시험후_음성,중간
45,A,MIX1047,피부감작성,T2,NC,수정,1,"주장_sds_2nd=1 (해석된 PDF 는 감작 항목이 ""No data available"")","p.1(Sec2), p.4(Sec11)",AI판정,2026-08-30,"대상은 Hibawood oil(투욥센/테르피넨-4-올/세드롤 등 9성분 혼합 정유), PDF 는 그 구성성분 하나인 Sigma β-Thujaplicin(499-44-5) SDS. Sec2 ""Not a hazardous substance or mixture"", Sec11 감작 항목 ""No data available"" 로 결측이다. 현재 NC 는 결측을 음성으로 오독.",2. HAZARDS IDENTIFICATION / 2.1 Classification of the substance or mixture: Not a hazardous substance or mixture. / 2.2 GHS Label elements: Not a hazardous substance or mixture. / 2.3 Hazards not otherwise classified (HNOC) or not covered by GHS - none,Respiratory or skin sensitisation / No data available,데이터없음,중간
46,A,MIX329,피부감작성,T2,NC,수정,1,주장_phase1_sds=1 + CT가산예측=1 (해석된 PDF 는 대상과 무관한 물질이며 감작 항목 결측),"p.1(Sec2), p.4-5(Sec11)",AI판정,2026-08-30,"대상은 Mon 58416(아세토클로르 46.65%+아트라진 18.42%+푸릴라졸 1.61%)인데 해석된 PDF 는 Sigma ""Thiamine mononitrate"" SDS 로 완전 무관한 물질이다. 그 SDS 는 Sec2 ""Not a hazardous substance or mixture"", Sec11 감작 ""no data available"". 아세토클로르는 CLP 조화분류 Skin Sens. 1 이고 CT가산예측도 1 인데 라벨이 bin0 인 CT모순이 이미 기록되어 있다.",2. HAZARDS IDENTIFICATION / 2.1 Classification of the substance or mixture: Not a hazardous substance or mixture. / 2.2 GHS Label elements: Not a hazardous substance or mixture. / 2.3 Hazards not otherwise classified (HNOC) or not covered by GHS - none,Respiratory or skin sensitisation / no data available,데이터없음,높음
47,A,MIX759,피부감작성,T2,NC,보류,NC,판정 불가 - 제품 시험 음성 vs 성분 조화분류 상충,"p.1(Sec2), p.6-7(Sec11)",AI판정,2026-08-30,"대상은 F6141 EW Insecticide. PDF(PermaStar AG, 퍼메트린 제품)는 Sec11 에 ""Skin Sensitization: Product is not considered a contact sensitizer."" 로 제품 기반 음성이지만 대상 제품과 동일 제품인지 확인 불가하다. 한편 퍼메트린은 CLP Skin Sens. 1B 로 0.1%(또는 1%) 이상 함유 시 가산규정상 분류 대상이므로 주장_sds_2nd=1B 와 상충. 원문만으로 판정 불가.",Section 2 - Hazards identification / Classification of substance: Harmful if inhaled / Harmful if swallowed / Harmful in contact with skin / Very Toxic to Aquatic life / Combustible liquid / Signal Word: Warning / Hazard-determined components of labeling: Permethrin,Skin: Not a skin sensitizer / Skin Sensitization: Product is not considered a contact sensitizer.,시험후_음성,낮음
48,A,MIX938,피부감작성,T2,NC,수정,1,주장_sds_2nd=1 (해석된 PDF 는 대상과 다른 제품이며 감작 항목에 시험자료 없음),"p.1-2(Sec2), p.5-6(Sec11)",AI판정,2026-08-30,"대상은 Foin absolute(건초 앱솔루트)인데 PDF 는 VANILLA ABSOLUTE SDS 로 다른 향료다. 그 SDS 의 Sec2 는 Eye Irrit. 2 - H319 만 분류(Skin Sens. 없음)이고 Sec11 감작 항목은 ""No sensitizing effects known."" 로 시험자료가 아니라 지식 부재 서술이다. 현재 NC 는 결측/무지를 음성으로 오독.",Hazards identification / 2.1 Classification of the substance or mixture / Classification according to Regulation (EC) No 1272/2008 / GHS07 / Eye Irrit. 2 - H319 Causes serious eye irritation. / Signal word Warning / Hazard statements H319,Respiratory or skin sensitisation / No sensitizing effects known.,데이터없음,중간
