cas,ingredient_name,눈,피부,감작,출처유형,범주유효성,H코드정합,URL상태,CAS체디,기존값충돌,채택가능,판정근거
81406-37-3,Fluroxypyr-meptyl,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2A;2B](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[2;2B;Not classified](ntp_measured;sds_reported),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
137-20-2,Sodium -[methyloleoylamino]ethane-1-sulphonate 1,"구분1(심한 눈손상) (H318, ECHA C&L 통보): H318 (38.2%): Causes serious eye damage [Danger Serious eye damage/eye irritation]","구분2(피부 자극) (H315, ECHA C&L 통보): H315 (26.2%): Causes skin irritation [Warning Skin corrosion/irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),echa_cl,정상,정상,PubChem CID URL 1건,pass,눈:신규[1] vs 기존[Not classified](NC) | 피부:신규[2] vs 기존[Not classified](NC),조건부,"ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 눈:38.2%,피부:26.2% / 기존 v5 라벨과 충돌 존재"
12069-69-1,Copper(II) carbonate basic,정보없음(PubChem에 GHS Classification 데이터 없음),정보없음(PubChem에 GHS Classification 데이터 없음),정보없음(PubChem에 GHS Classification 데이터 없음),정보없음,정상,정상,PubChem CID URL 1건,pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
104-55-2,3-Phenylprop-2-enal,"구분2(눈 자극) (H319, ECHA C&L 통보): H319 (95.6%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]","구분2(피부 자극) (H315, ECHA C&L 통보): H315 (98.1%): Causes skin irritation [Warning Skin corrosion/irritation]","피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[2] vs 기존[1;2A](ntp_measured;sds_reported) | 피부:신규[2] vs 기존[1;2B](ntp_measured;sds_reported),조건부,Annex VI(법적구속) 항목 존재하나 ECHA C&L(자가신고) 값을 채택 — 출처위계 역전 가능 / 기존 v5 라벨과 충돌 존재
2758-42-1,"Dimethylamine Salt of -(2,4-Dichlorphenoxy) 23 True",정보없음(PubChem에 GHS Classification 데이터 없음),정보없음(PubChem에 GHS Classification 데이터 없음),정보없음(PubChem에 GHS Classification 데이터 없음),정보없음,정상,정상,PubChem CID URL 1건,pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
422556-08-9,Pyroxsulam,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,없음,채택,"EU CLP Annex VI 근거 또는 양대출처 조회완료 NC, 범주/H코드 정합, URL 정상, 체디 pass, 기존값 충돌 없음"
98967-40-9,Flumetsulam,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B](ntp_measured),조건부,분류대상아님이 ECHA C&L 통보 부재만에 근거 — 미시험(no data)과 음성(negative) 구분 불가 / 기존 v5 라벨과 충돌 존재
7722-84-1,Hydrogen peroxide,"구분1(심한 눈손상) (H318, ECHA C&L 통보): H318 (36.9%): Causes serious eye damage [Danger Serious eye damage/eye irritation]","구분1(피부 부식/화상) (H314, EU CLP Annex VI): H314: Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,정상,정상,PubChem CID URL 1건,pass,없음,조건부,ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 눈:36.9%
79-21-0,Peracetic acid,"구분1(심한 눈손상) (H318, ECHA C&L 통보): H318 (42.3%): Causes serious eye damage [Danger Serious eye damage/eye irritation]","구분1(피부 부식/화상) (H314, EU CLP Annex VI): H314: Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,정상,정상,PubChem CID URL 1건,pass,없음,조건부,ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 눈:42.3%
156052-68-5,Zoxamide,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2A;2B](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[2;2B;Not classified](ntp_measured;sds_reported),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
131860-33-8,Azoxystrobin 50 NA NA NA NA,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B;Not classified](ntp_measured) | 감작:신규[NC] vs 기존[1B](sens_ghs),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
108-95-2,Phenol < 3 5 ppm 5 ppm NA IARC – 3,"구분1(심한 눈손상) (H318, ECHA C&L 통보): H318 (17.7%): Causes serious eye damage [Danger Serious eye damage/eye irritation]","구분1(피부 부식/화상) (H314, EU CLP Annex VI): H314: Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,정상,정상,PubChem CID URL 1건,pass,없음,조건부,ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 눈:17.7%
1317-65-3,Calcium carbonate <,정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음,정상,정상,결측(정보없음 유형-조회실패로 인용가능 URL 없음),pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
85409-22-9,Alkylbenzyl dimethyl ammonium chloride,정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음,정상,정상,결측(정보없음 유형-조회실패로 인용가능 URL 없음),pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
111-30-8,Glutaraldehyde,"구분1(심한 눈손상) (H318, ECHA C&L 통보): H318 (18.7%): Causes serious eye damage [Danger Serious eye damage/eye irritation]","구분1(피부 부식/화상) (H314, EU CLP Annex VI): H314: Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]","피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,없음,조건부,ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 눈:18.7%
139968-49-3,Metaflumizone,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,없음,채택,"EU CLP Annex VI 근거 또는 양대출처 조회완료 NC, 범주/H코드 정합, URL 정상, 체디 pass, 기존값 충돌 없음"
141517-21-7,Trifloxystrobin,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[1;2A;2B;Not classified](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[2;Not classified](sds_reported),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
865318-97-4,Ametoctradin,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,없음,조건부,분류대상아님이 ECHA C&L 통보 부재만에 근거 — 미시험(no data)과 음성(negative) 구분 불가
210631-68-8,Topramezone,정보없음(PubChem에 GHS Classification 데이터 없음),정보없음(PubChem에 GHS Classification 데이터 없음),정보없음(PubChem에 GHS Classification 데이터 없음),정보없음,정상,정상,PubChem CID URL 1건,pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
907204-31-3,Fluxapyroxad,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[1;Not classified](ntp_measured;sds_reported) | 감작:신규[NC] vs 기존[1](sens_ghs),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
67701-09-1,PotassiumSaltsofFattyAcids,정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음,정상,정상,결측(정보없음 유형-조회실패로 인용가능 URL 없음),pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
52645-53-1,Permethrin,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2A;2B;Not classified](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[1;2A;2B;Not classified](ntp_measured;sds_reported),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
51-03-6,Piperonyl butoxide,"구분2(눈 자극) (H319, EU CLP Annex VI): H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,정상,정상,PubChem CID URL 1건,pass,피부:신규[NC] vs 기존[2A;2B;Not classified](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
68359-37-5,Cyfluthrin,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[1;2A;2B](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[2B;Not classified](ntp_measured) | 감작:신규[NC] vs 기존[1](sens_ghs),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
55965-84-9,reaction mass of: -chloro-2-methyl-4-isothiazolin-3-one [EC no. 247-500-7] 0.085,"구분1(심한 눈손상) (H318, EU CLP Annex VI): H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]","구분1(피부 부식/화상) (H314, EU CLP Annex VI): H314: Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]","피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[1] vs 기존[2B;Not classified](ntp_measured) | 피부:신규[1] vs 기존[Not classified](NC),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
5915-41-3,Terbutylazine,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B;Not classified](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
13684-56-5,desmedipham (ISO); ethyl 3-phenylcarbamoyloxyphenylcarbamate 15,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2A](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
13684-63-4,phenmedipham (ISO); methyl 3-(3-methylcarbaniloyloxy)carbanilate 15,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2A](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
108-32-7,Propylene Carbonate S 5-15,"구분2(눈 자극) (H319, EU CLP Annex VI): H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,정상,정상,PubChem CID URL 1건,pass,피부:신규[NC] vs 기존[2A;Not classified](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
23564-05-8,Thiophanate-methyl,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B;Not classified](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
119446-68-3,Difenoconazole,"구분2(눈 자극) (H319, EU CLP Annex VI): H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[2] vs 기존[1;2B;Not classified](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[2;Not classified](sds_reported) | 감작:신규[NC] vs 기존[1](sens_ghs),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
1897-45-6,Chlorothalonil,"구분1(심한 눈손상) (H318, EU CLP Annex VI): H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,피부:신규[NC] vs 기존[2;2B;Not classified](ntp_measured;sds_reported),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
116255-48-2,Bromuconazole,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B](ntp_measured),조건부,분류대상아님이 ECHA C&L 통보 부재만에 근거 — 미시험(no data)과 음성(negative) 구분 불가 / 기존 v5 라벨과 충돌 존재
24938-91-8,Tridecyl Alcohol Ethoxylated,정보없음(PubChem에 GHS Classification 데이터 없음),정보없음(PubChem에 GHS Classification 데이터 없음),정보없음(PubChem에 GHS Classification 데이터 없음),정보없음,정상,정상,PubChem CID URL 1건,pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
70528-83-5,"Benzenesulfonic Acid, Mono-C11-13-Branched Alkyl Derivs., Calcium Salts",정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음,정상,정상,결측(정보없음 유형-조회실패로 인용가능 URL 없음),pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
6393-42-6,"2,6-Dinitro-4-methylaniline","구분2(눈 자극) (H319, ECHA C&L 통보): H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]","구분2(피부 자극) (H315, ECHA C&L 통보): H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),echa_cl,정상,정상,PubChem CID URL 1건,pass,눈:신규[2] vs 기존[1](ntp_measured),조건부,출처가 ECHA C&L 자가신고(법적구속력 없음) / 기존 v5 라벨과 충돌 존재
133-06-2,Captan,"구분1(심한 눈손상) (H318, EU CLP Annex VI): H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,피부:신규[NC] vs 기존[2;Not classified](sds_reported),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
21087-64-9,Metribuzin (active ingredient),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B;Not classified](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
1332-58-7,Kaolin 10,정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음,정상,정상,결측(정보없음 유형-조회실패로 인용가능 URL 없음),pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
131983-72-7,Triticonazole,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2A;2B;Not classified](ntp_measured),조건부,분류대상아님이 ECHA C&L 통보 부재만에 근거 — 미시험(no data)과 음성(negative) 구분 불가 / 기존 v5 라벨과 충돌 존재
32351-70-5,Mecoprop-dimethylammonium,정보없음(PubChem에 GHS Classification 데이터 없음),정보없음(PubChem에 GHS Classification 데이터 없음),정보없음(PubChem에 GHS Classification 데이터 없음),정보없음,정상,정상,PubChem CID URL 1건,pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
106-97-8,BUTANE 10.0-20.0,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B;Not classified](ntp_measured;sds_reported),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
74-98-6,PROPANE 2.5-10.0,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B;Not classified](ntp_measured) | 피부:신규[NC] vs 기존[2A;2B;Not classified](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
113-48-4,N-OCTYL BICYCLOHEPTENE DICARBOXIMIDE,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, ECHA C&L 통보): H317 (43.8%): May cause an allergic skin reaction [Warning Sensitization, Skin]",echa_cl,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B;Not classified](ntp_measured),조건부,ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 감작:43.8% / 기존 v5 라벨과 충돌 존재
82-66-6,Diphacinone,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
39148-24-8,Fosetyl Aluminium,정보없음(PubChem에 GHS Classification 데이터 없음),정보없음(PubChem에 GHS Classification 데이터 없음),정보없음(PubChem에 GHS Classification 데이터 없음),정보없음,정상,정상,PubChem CID URL 1건,pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
20427-59-2,Copper(II) hydroxide,"구분1(심한 눈손상) (H318, EU CLP Annex VI): H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[1] vs 기존[2B](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
94361-06-5,Cyproconazole,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
71751-41-2,Abamectin,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"구분1(피부 부식/화상) (H314, ECHA C&L 통보): H314 (100%): Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]","피부감작성 구분1 (H317, ECHA C&L 통보): H317 (100%): May cause an allergic skin reaction [Warning Sensitization, Skin]",echa_cl,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B;Not classified](ntp_measured;sds_reported) | 피부:신규[1] vs 기존[Not classified](NC),조건부,Annex VI(법적구속) 항목 존재하나 ECHA C&L(자가신고) 값을 채택 — 출처위계 역전 가능 / 기존 v5 라벨과 충돌 존재
122008-85-9,Cyhalofop-butyl,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2A;Not classified](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[2;2B;Not classified](ntp_measured;sds_reported) | 감작:신규[NC] vs 기존[1](sens_ghs),조건부,분류대상아님이 ECHA C&L 통보 부재만에 근거 — 미시험(no data)과 음성(negative) 구분 불가 / 기존 v5 라벨과 충돌 존재
101200-48-0,Tribenuron-methyl,"구분2(눈 자극) (H319, ECHA C&L 통보): H319 (27.7%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,없음,조건부,ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 눈:27.7%
56-72-4,Coumaphos,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[1;2B](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
68477-31-6,Catalytic reformer petroleum,정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음,정상,정상,결측(정보없음 유형-조회실패로 인용가능 URL 없음),pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
131341-86-1,Fludioxonil,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[1;2B;Not classified](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[2;Not classified](sds_reported) | 감작:신규[NC] vs 기존[1B](sens_ghs),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
70630-17-0,Metalaxyl-M,"구분1(심한 눈손상) (H318, EU CLP Annex VI): H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,정상,정상,PubChem CID URL 1건,pass,감작:신규[NC] vs 기존[1B](sens_ghs),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
